Dataset,ori_AUROC,ori_AUROC_std,ori_AUPRC,ori_AUPRC_std,ori_Accuracy,ori_Accuracy_std,rep_AUROC,rep_AUROC_std,rep_AUPRC,rep_AUPRC_std,rep_Accuracy,rep_Accuracy_std
tox21-ahr-p1,0.893214597,0.013986959,0.980002951,0.004093454,0.902157485,0.007579265,0.905764782,0.009310304,0.984551398,0.002345693,0.905254071,0.006523251
tox21-ap1-agonist-p1,0.836264162,0.01376902,0.977400545,0.004830503,0.923581802,0.0085202,0.839243226,0.028858624,0.979336406,0.004377146,0.924013239,0.007913792
tox21-ar-bla-agonist-p1,0.884854329,0.020525404,0.992203164,0.00196445,0.977696747,0.003412605,0.89477868,0.030028362,0.993709002,0.002157911,0.97948481,0.004949711
tox21-ar-bla-antagonist-p1,0.862697441,0.016591275,0.982166624,0.003562193,0.919470977,0.006839134,0.880407726,0.014668235,0.986464566,0.003675821,0.934477612,0.006088382
tox21-ar-mda-kb2-luc-agonist-p1,0.808980744,0.02202649,0.987015721,0.002128053,0.977099032,0.003870866,0.842543415,0.043004868,0.989448623,0.004763152,0.979174075,0.003682036
tox21-ar-mda-kb2-luc-agonist-p3,0.871459048,0.049489283,0.993056457,0.004423617,0.984418353,0.005505582,0.910119312,0.015361827,0.99597363,0.001683295,0.986256836,0.002558876
tox21-ar-mda-kb2-luc-antagonist-p1,0.857829015,0.012017138,0.977349884,0.002076899,0.905673029,0.007778375,0.854891537,0.026235703,0.987349916,0.004133861,0.947368421,0.006033805
tox21-ar-mda-kb2-luc-antagonist-p2,0.881567649,0.007653296,0.965869948,0.002782988,0.846467939,0.005281811,0.902482001,0.011155726,0.980021383,0.003135111,0.883649288,0.009628821
tox21-are-bla-p1,0.832578789,0.009663768,0.952809806,0.003685114,0.847740683,0.003096645,0.837540458,0.016661638,0.958153235,0.004352638,0.852854127,0.008427023
tox21-aromatase-p1,0.856550297,0.01705285,0.973919744,0.005507245,0.902783588,0.002945639,0.863959474,0.008510272,0.976309815,0.001443679,0.907873436,0.004014182
tox21-car-agonist-p1,0.879741585,0.010937368,0.970945324,0.003282257,0.857338091,0.011841817,0.904459679,0.013275804,0.983010762,0.002758447,0.891130186,0.004796296
tox21-car-antagonist-p1,0.864491832,0.015469692,0.960661909,0.003787299,0.843314836,0.012600184,0.829362393,0.028632398,0.992074886,0.001512143,0.970865883,0.005295851
tox21-casp3-cho-p1,0.872821896,0.022249848,0.994371515,0.001938346,0.976067643,0.004167956,0.887265974,0.035196977,0.995771464,0.002750058,0.976923077,0.005474739
tox21-casp3-hepg2-p1,0.877938894,0.007810896,0.990255374,0.000631813,0.95004667,0.00627768,0.872339318,0.029304957,0.990126133,0.002426939,0.952118359,0.005884235
tox21-elg1-luc-agonist-p1,0.845829956,0.019705928,0.987820584,0.001762166,0.949152827,0.001976432,0.850188458,0.016767429,0.992370848,0.002025672,0.96596047,0.007286874
tox21-er-bla-agonist-p2,0.823777675,0.018454618,0.982315645,0.004911379,0.95343095,0.003922436,0.858497984,0.020949409,0.987936677,0.002317045,0.955855158,0.006426095
tox21-er-bla-antagonist-p1,0.857312232,0.011522423,0.984480526,0.001976777,0.92970775,0.004956219,0.872293805,0.021886143,0.990605516,0.002297091,0.951144307,0.008307673
tox21-er-luc-bg1-4e2-agonist-p2,0.785427939,0.006086166,0.924053024,0.003772887,0.829374881,0.005068527,0.762906771,0.030551054,0.94846703,0.004129057,0.904115931,0.003026259
tox21-er-luc-bg1-4e2-agonist-p4,0.886760946,0.040217105,0.99584454,0.001480839,0.985425661,0.001713913,0.958776602,0.010670224,0.998788183,0.000554395,0.986710147,0.003404888
tox21-er-luc-bg1-4e2-antagonist-p1,0.871808416,0.014109679,0.980357304,0.002901934,0.906070019,0.006115968,0.891725509,0.012629227,0.991928146,0.002868665,0.953275075,0.009789342
tox21-er-luc-bg1-4e2-antagonist-p2,0.867482501,0.017564919,0.979733793,0.003944049,0.909144847,0.00703608,0.895606661,0.013033693,0.990100668,0.001524068,0.941838519,0.006807965
tox21-erb-bla-antagonist-p1,0.871733498,0.017334587,0.984454737,0.003644853,0.923794712,0.003713013,0.876406478,0.016910696,0.986066986,0.002880836,0.929483377,0.009082899
tox21-erb-bla-p1,0.872583862,0.060659603,0.996033421,0.002345816,0.985783731,0.001286447,0.925133454,0.039839082,0.99787258,0.001635125,0.986816126,0.003370044
tox21-esre-bla-p1,0.823137977,0.043952661,0.994480776,0.001798085,0.983267264,0.002270502,0.841637023,0.019581896,0.995697932,0.001398632,0.983527082,0.004483479
tox21-fxr-bla-agonist-p2,0.888690417,0.027776302,0.997397675,0.000989933,0.984591198,0.002144853,0.890510239,0.012511135,0.997479105,0.000486232,0.983569591,0.004212124
tox21-fxr-bla-antagonist-p1,0.870810119,0.022687871,0.99355857,0.001718582,0.96598041,0.00425802,0.88624238,0.007859216,0.994812593,0.001403246,0.967099982,0.006167327
tox21-gh3-tre-agonist-p1,0.770780584,0.042825222,0.989749366,0.00119997,0.975256748,0.003569458,0.688719881,0.057175775,0.996646983,0.001486925,0.995704428,0.001244285
tox21-gh3-tre-antagonist-p1,0.848049671,0.025583209,0.985353543,0.00343385,0.936011934,0.00618563,0.847522558,0.028924737,0.987364556,0.003019616,0.945359917,0.009669076
tox21-gr-hela-bla-agonist-p1,0.855869567,0.03330263,0.992098475,0.002472654,0.977538668,0.003598948,0.873576028,0.023355758,0.994639467,0.001984353,0.985206627,0.004234983
tox21-gr-hela-bla-antagonist-p1,0.869174335,0.024936045,0.981610164,0.006929696,0.92859064,0.008833013,0.867989226,0.02085705,0.988847634,0.002655685,0.954740123,0.004733298
tox21-hdac-p1,0.927451062,0.016926168,0.996066271,0.000745999,0.959172782,0.00385311,0.933887307,0.002664797,0.996438571,0.000752881,0.958656835,0.00757158
tox21-hre-bla-agonist-p1,0.876938041,0.036547009,0.998549315,0.000771675,0.992356961,0.001965142,0.860855619,0.04063797,0.998326606,0.000739667,0.992486859,0.001667841
tox21-hse-bla-p1,0.792265534,0.025956295,0.977529582,0.004099247,0.940106636,0.007513936,0.80400338,0.008498536,0.980295414,0.002743102,0.941420118,0.008012783
tox21-mitotox-p1,0.893039871,0.010856192,0.968049211,0.003568649,0.847073281,0.004743316,0.897225919,0.00980721,0.969965283,0.004416332,0.867966419,0.0074176
tox21-nfkb-bla-agonist-p1,0.873937237,0.05831045,0.998560253,0.00091188,0.992467149,0.000965157,0.914242199,0.022697301,0.999145419,0.000487758,0.99274234,0.001647511
tox21-p53-bla-p1,0.856206471,0.026835378,0.985712251,0.004622556,0.933512064,0.008545511,0.853780409,0.015206398,0.985696348,0.00234669,0.937449404,0.007509696
tox21-ppard-bla-agonist-p1,0.830062999,0.09086131,0.995723794,0.002173167,0.98342559,0.003758516,0.84820596,0.02532042,0.996108582,0.001368155,0.984287147,0.005005092
tox21-ppard-bla-antagonist-p1,0.844277482,0.063710563,0.995810985,0.00300771,0.985471406,0.003891709,0.807154487,0.064700745,0.995936151,0.001921828,0.987903609,0.004482849
tox21-pparg-bla-agonist-p1,0.824792866,0.020690983,0.986891999,0.002452185,0.954041062,0.005675861,0.828725268,0.040392039,0.990901299,0.003736736,0.968738044,0.006268717
tox21-pparg-bla-antagonist-p1,0.842377366,0.028306562,0.982901946,0.005995611,0.9354531,0.010085057,0.837946192,0.017422432,0.985361283,0.002801349,0.941554597,0.008512616
tox21-pr-bla-agonist-p1,0.93276446,0.033426063,0.998079862,0.001030638,0.991239642,0.002566823,0.923453537,0.030476896,0.997612185,0.001234337,0.991888298,0.001289277
tox21-pr-bla-antagonist-p1,0.90489336,0.009490277,0.981680939,0.003003571,0.899315589,0.010106919,0.907751176,0.010060811,0.982628659,0.004730961,0.895100041,0.006151255
tox21-pxr-p1,0.892515921,0.004674106,0.957701485,0.003854151,0.843271375,0.00601082,0.898847605,0.012560726,0.961245778,0.004862917,0.849802357,0.00924816
tox21-rar-agonist-p1,0.818972213,0.011142676,0.965839925,0.004744864,0.892379937,0.006484957,0.879897129,0.028918005,0.985336205,0.006044794,0.933409504,0.008684935
tox21-rar-antagonist-p2,0.80100036,0.01649893,0.926144293,0.00447517,0.811985666,0.0100991,0.844797943,0.013284894,0.976431872,0.001135237,0.911911627,0.013450656
tox21-ror-cho-antagonist-p1,0.859261093,0.009006788,0.968903701,0.005298903,0.868000398,0.006355855,0.884390301,0.018602135,0.984596182,0.004574045,0.92139598,0.00674071
tox21-rxr-bla-agonist-p1,0.793078844,0.008766155,0.957405433,0.006287075,0.889879154,0.011675477,0.721119757,0.012978082,0.983365005,0.003754397,0.969666855,0.006235875
tox21-sbe-bla-agonist-p1,0.908857,0.05469322,0.999196322,0.000813086,0.996195,0.001827848,0.916619588,0.071124381,0.999335466,0.000799609,0.995929087,0.001520136
tox21-sbe-bla-antagonist-p1,0.853435131,0.009947742,0.985676503,0.001773854,0.936899031,0.001199523,0.855897311,0.025348439,0.986457536,0.003861609,0.94002849,0.006376931
tox21-shh-3t3-gli3-agonist-p1,0.821507152,0.088741436,0.997926974,0.002084936,0.99395727,0.001646207,0.786162961,0.054551403,0.997734802,0.001380718,0.993951606,0.002190189
tox21-shh-3t3-gli3-antagonist-p1,0.856614392,0.015285498,0.957528128,0.007927257,0.854360711,0.005355254,0.86659082,0.019884858,0.963448937,0.006445016,0.864848971,0.008757428
tox21-tshr-agonist-p1,0.850495282,0.016737816,0.988375094,0.003067707,0.955586398,0.005393299,0.853032569,0.011102946,0.990508307,0.001786876,0.961378342,0.006031769
tox21-tshr-antagonist-p1,0.859201007,0.028513509,0.992619925,0.002186962,0.964833318,0.002542367,0.857549721,0.018057498,0.993410321,0.002105414,0.965283344,0.009066469
tox21-tshr-wt-p1,0.858706886,0.058998719,0.99861489,0.000757895,0.995541413,0.001049664,0.897993381,0.067977371,0.999199973,0.000826444,0.995931586,0.001518826
tox21-vdr-bla-agonist-p1,0.834010295,0.059700659,0.997206849,0.001738112,0.990805156,0.002337085,0.923469568,0.054640433,0.999401047,0.000469094,0.995012726,0.001989335
tox21-vdr-bla-antagonist-p1,0.832175733,0.044209197,0.996708704,0.001520344,0.987045814,0.002267409,0.813664354,0.07811703,0.996214562,0.002460129,0.989857369,0.00293934
Avg.,0.855876036,0.027049928,0.982192424,0.003015909,0.934488483,0.005076485,0.864824205,0.025691821,0.987982641,0.002535154,0.950543783,0.005782236
CYP2D6_Veith,0.848446785,0.007327765,0.951626246,0.002775231,0.848413034,0.007409587,0.85093955,0.01165555,0.95297126,0.00341583,0.84538077,0.00320742
Pgp_Broccatelli,0.947798438,0.006262716,0.92461951,0.015460477,0.883105023,0.013107489,0.94946092,0.01225925,0.92235264,0.02642396,0.88341429,0.00991558
BBB_Martins,0.93201074,0.009976487,0.838391428,0.018249687,0.894751418,0.015779335,0.91846368,0.0035941,0.80924089,0.03013068,0.8862069,0.00720628